start_x;start_y;end_x;end_y;other_point_x;other_point_y;position_x;
1.31330000e+04;3.26284885e-01;1.31630000e+04;2.65704254e-01;1.31390000e+04;7.04000707e-01;1.31390000e+04;
1.32390000e+04;2.28547023e-01;1.3298000e+04;2.5401378e-01;1.32590000e+04;9.04992146e-01;1.32590000e+04;
1.3676000e+04;3.0414919e-01;1.3682000e+04;3.0414919e-01;1.36810000e+04;2.65584885e-01;1.36810000e+04;
1.54160000e+04;4.58328455e-01;1.54210000e+04;5.99343896e-01;1.54200000e+04;9.28857626e-01;1.54200000e+04;
1.55170000e+04;3.89804434e-01;1.55220000e+04;3.89804434e-01;1.55210000e+04;4.46120712e-01;1.55210000e+04;
1.58290000e+04;4.14959808e-02;1.58490000e+04;1.36756871e-01;1.5839000e+04;-8.1241736e-01;1.5839000e+04;
1.60730000e+04;1.25264809e-01;1.60850000e+04;1.51309769e-01; 1.6078000e+04;-9.4776766e-02; 1.6078000e+04;
1.61330000e+04;1.68417147e-01;1.61410000e+04;1.21713035e-01;1.61390000e+04;3.87892866e-01;1.61390000e+04;
1.62600000e+04;2.58200144e-01;1.6269000e+04 ;3.0740111e-01;1.62610000e+04;6.35210664e-01;1.62600000e+04;
1.63650000e+04;2.71687754e-01;1.63690000e+04;2.87189445e-01;1.63650000e+04;6.83030601e-01;1.63650000e+04;
1.66950000e+04;1.26500356e-01;1.67000000e+04;6.02220431e-02;1.66970000e+04;-5.00838916e-01;1.66950000e+04;
1.68720000e+04;1.26256357e-01;1.68770000e+04;1.34280608e-01;1.68740000e+04;-8.00238547e-03;1.68740000e+04;
1.72720000e+04;-9.92003802e-03;1.72900000e+04;-3.92999854e-02;1.72780000e+04;7.13395704e-01;1.72790000e+04;
1.78950000e+04;3.57445844e-01;1.78980000e+04;3.53639003e-01;1.78960000e+04;3.30797517e-01;1.78950000e+04;
1.85550000e+04;1.41012665e-01;1.85610000e+04;1.44059692e-01;1.85560000e+04;-9.37536936e-02;1.85550000e+04;
1.86590000e+04;2.71186695e-02;1.86950000e+04;1.87458978e-02;1.86590000e+04;2.71186695e-02;1.86590000e+04;
1.86950000e+04;1.87458978e-02;1.8720000e+04;2.3617418e-01;1.87190000e+04;-2.39131236e+00;1.8720000e+04;
1.90720000e+04;9.16984982e-01;1.90880000e+04;-6.86731289e-01;1.90790000e+04;2.61648388e+00;1.90790000e+04;
1.91680000e+04;1.33010354e-01;1.91730000e+04;1.32838702e-01;1.91700000e+04;1.95116796e-01;1.91700000e+04;
1.91540000e+04;5.13515676e-02;1.91570000e+04;-2.16395744e-02;1.91550000e+04;5.92480702e-02;1.91550000e+04;
1.94690000e+04;1.32838702e-01;1.94790000e+04;2.78888558e-01;1.94700000e+04;3.29066203e+00;1.94690000e+04;
1.95830000e+04;1.32838702e-01;1.9599000e+04;1.2855594e-01;1.95890000e+04;1.40050342e+00;1.95890000e+04;
 1.99200000e+04;1.56934554e-01;1.99220000e+04;1.78690927e-02;1.99210000e+04;-1.28940214e-01;1.99200000e+04;
1.99800000e+04;1.32838702e-01;1.99840000e+04;1.32838702e-01;1.99810000e+04;-3.67500432e-01;1.99800000e+04;
2.06550000e+04;1.40081024e-01;2.06580000e+04;1.31936469e-01;2.06560000e+04;-2.20550056e-01;2.06550000e+04;
2.14580000e+04;1.36157381e-01;2.14660000e+04;8.63222019e-02;2.14650000e+04;-4.14101583e-02;2.14650000e+04;
2.16390000e+04;5.55487523e-01;2.16830000e+04;1.09596579e+00;2.16590000e+04;-3.97447732e+00;2.16590000e+04;
2.33330000e+04;3.25154711e-01;2.3363000e+04;2.4348957e-01;2.33390000e+04;7.02163880e-01;2.33390000e+04;
2.35170000e+04;1.32838702e-01;2.35340000e+04;1.21576875e-01;2.35190000e+04;4.64038950e-01;2.35190000e+04;
2.37150000e+04;1.16599358e-01;2.37170000e+04;4.58678946e-02;2.37160000e+04;-1.28091350e-01;2.37150000e+04;
2.40870000e+04;3.89804434e-01;2.40920000e+04;3.89804434e-01;2.40900000e+04;6.58699838e-01;2.40900000e+04;
2.72160000e+04;-1.68091854e-01;2.72630000e+04;1.13075182e-01;2.72390000e+04;-6.26410433e+00;2.72390000e+04;
2.77130000e+04;3.26368159e-01;2.77580000e+04;1.98430602e-01;2.77190000e+04;7.29687289e-01;2.77190000e+04;
2.77580000e+04;1.98430602e-01;2.77880000e+04;1.19697358e-01;2.77790000e+04;3.25902862e+00;2.77790000e+04;
2.90320000e+04;-9.13953875e-01;2.90490000e+04;1.35939418e-01;2.90390000e+04;-2.62974114e+00;2.90390000e+04;
2.91530000e+04;1.49583272e-01;2.91720000e+04;-1.64640197e+00;2.91590000e+04;1.14619207e+00;2.91590000e+04;
3.00140000e+04;1.41404314e-01;3.00280000e+04;-1.32197029e-01;3.00150000e+04;-3.71308167e+00;3.00140000e+04;
3.45480000e+04;-2.40055727e-01;3.45600000e+04;-3.15499881e-01;3.45590000e+04;-2.38826673e+00;3.45590000e+04;
3.54300000e+04;3.96917044e-01;3.54340000e+04;4.76961909e-01;3.54320000e+04;1.02199723e+00;3.54300000e+04;
3.55800000e+04;4.19882143e-01;3.55830000e+04;4.18826119e-01;3.5581000e+04;6.7304674e-01;3.55800000e+04;
3.72260e+04;1.04917e+00;3.72680000e+04;1.09704882e+00;3.72590000e+04;-6.25350211e+00;3.72590000e+04;
3.91730000e+04;3.24590815e-01;3.92030000e+04;2.46491299e-01;3.91790000e+04;7.04368073e-01;3.91790000e+04;
3.92330000e+04;7.06248701e-01;3.92780000e+04;5.74032211e-01;3.92390000e+04;9.84757194e-01;3.92390000e+04;
3.93500000e+04;1.55161342e+00;3.93670000e+04;4.51358801e-01;3.93590000e+04;3.45123494e+00;3.93590000e+04;
4.00650000e+04;1.23131517e-01;4.01170000e+04;1.67707048e-01;4.00790000e+04;-3.48846185e+00;4.00790000e+04;
4.37260000e+04;3.82192965e-01;4.37500000e+04;3.45624057e-01;4.37390000e+04;3.51726822e+00;4.37390000e+04;
4.45190000e+04;-7.26857265e-01;4.45290000e+04;-7.37969237e-01;4.45200000e+04;1.93697753e+00;4.45190000e+04;
4.45520000e+04;6.28203498e-02;4.46030000e+04;1.14115417e-01;4.45790000e+04;-6.25692971e+00;4.45790000e+04;
4.49330000e+04;3.25727648e-01;4.49630000e+04;3.49931903e-01;4.49390000e+04;7.28314427e-01;4.49390000e+04;
4.56380000e+04;1.24708972e-02;4.56830000e+04;1.13161789e-01;4.56590000e+04;-6.12073315e+00;4.56590000e+04;
4.64330000e+04;3.25676257e-01;4.64630000e+04;2.46246241e-01;4.64390000e+04;7.03267403e-01;4.64390000e+04;
4.74530000e+04;3.96553103e-02;4.74620000e+04;2.16119281e-01;4.74590000e+04;-1.59456587e+00;4.74590000e+04;
4.75160000e+04;-1.74263951e-01;4.75290000e+04;-2.03053572e-01;4.75190000e+04;2.95552719e-01;4.75190000e+04;
4.75730000e+04;-7.70215033e-01;4.75850000e+04;9.20400379e-01;4.75790000e+04;-1.93917595e+00;4.75790000e+04;
